tree_index	node_name	label
0	0	{'-13', '-11', '-15', '-10', '-4', '-1'}
1	0	{'-13', '-11', '-15', '-10', '-4', '-1'}
2	0	{'-13', '-11', '-15', '-10', '-4', '-1'}
3	0	{'-13', '-11', '-15', '-10', '-4', '-1'}
4	0	{'-13', '-11', '-15', '-10', '-4', '-1'}
0	10	{'-1', '-15', '-13'}
1	10	{'-1', '-15', '-13'}
4	10	{'-13', '-11', '-15', '-10', '-4', '-1'}
2	100	{'-4', '-15'}
0	102	{'-4', '-15'}
2	102	{'-4', '-15'}
0	1025	{'-4', '-15'}
2	103	{'-4', '-15'}
3	105	{'-15', '-13'}
1	106	{'-4', '-15'}
4	106	{'-4', '-15'}
0	109	{'-4', '-15'}
0	11	{'-4', '-1', '-15', '-13'}
1	11	{'-13', '-11', '-15', '-10', '-4', '-1'}
0	110	{'-4', '-15'}
2	1104	{'-4', '-15'}
1	111	{'-15', '-13'}
1	113	{'-15', '-13'}
4	1146	{'-4', '-15'}
1	115	{'-15', '-13'}
0	116	{'-4', '-15'}
1	116	{'-4', '-15'}
2	116	{'-15', '-13'}
1	1168	{'-4', '-15'}
1	117	{'-4', '-15'}
0	118	{'-4', '-15'}
3	120	{'-4', '-15'}
1	1217	{'-4', '-15'}
4	1232	{'-4', '-15'}
1	124	{'-4', '-15'}
0	1256	{'-4', '-15'}
0	128	{'-4', '-15'}
0	13	{'-4', '-1', '-15', '-13'}
2	13	{'-4', '-1', '-15', '-13'}
1	130	{'-15', '-13'}
0	1303	{'-4', '-15'}
1	1304	{'-4', '-15'}
1	1305	{'-4', '-15'}
3	134	{'-15', '-13'}
4	134	{'-4', '-15'}
4	135	{'-4', '-15'}
2	136	{'-4', '-15'}
4	136	{'-15', '-13'}
0	1367	{'-4', '-15'}
4	137	{'-15', '-13'}
1	138	{'-4', '-15'}
3	138	{'-1', '-15', '-13'}
1	1381	{'-4', '-15'}
2	1386	{'-4', '-15'}
1	139	{'-4', '-15'}
1	14	{'-13', '-11', '-15', '-10', '-4', '-1'}
2	14	{'-4', '-15'}
2	142	{'-4', '-15'}
2	1426	{'-4', '-15'}
2	143	{'-4', '-15'}
0	146	{'-15', '-13'}
4	146	{'-4', '-15'}
4	147	{'-4', '-15'}
4	148	{'-4', '-15'}
4	149	{'-4', '-15'}
0	15	{'-1', '-15', '-13'}
2	15	{'-4', '-1', '-15', '-13'}
4	15	{'-4', '-1', '-15', '-13'}
3	150	{'-15', '-13'}
4	150	{'-15', '-13'}
3	1507	{'-4', '-15'}
0	151	{'-4', '-15'}
2	1536	{'-4', '-15'}
2	156	{'-4', '-15'}
0	158	{'-4', '-15'}
0	159	{'-4', '-15'}
3	16	{'-4', '-1', '-15', '-13'}
2	160	{'-4', '-15'}
2	161	{'-4', '-15'}
1	1616	{'-4', '-15'}
0	162	{'-4', '-15'}
3	1653	{'-4', '-15'}
2	168	{'-15', '-13'}
1	1687	{'-4', '-15'}
2	169	{'-15', '-13'}
1	17	{'-4', '-1', '-15', '-13'}
3	17	{'-4', '-1', '-15', '-13'}
0	171	{'-4', '-15'}
4	171	{'-4', '-15'}
2	1753	{'-4', '-15'}
0	18	{'-4', '-15'}
1	18	{'-1', '-15', '-13'}
4	18	{'-4', '-15'}
0	180	{'-4', '-15'}
1	180	{'-4', '-15'}
