tree_index	node_name	label
0	0	{'-14', '-7', '-9', '-8', '-4', '-1'}
0	2	{'-7', '-8', '-1', '-14'}
0	3	{'-14', '-7', '-9', '-8', '-4', '-1'}
0	12	{'-7', '-8', '-1', '-14'}
0	13	{'-7', '-8', '-1', '-14'}
0	4	{'-14', '-7', '-8', '-4', '-1'}
0	5	{'-14', '-7', '-9', '-8', '-4', '-1'}
0	23	{'-7', '-8', '-1', '-14'}
0	15	{'-7', '-8', '-1', '-14'}
0	9	{'-7', '-8', '-1', '-14'}
0	34	{'-7', '-8', '-1', '-14'}
0	35	{'-7', '-8', '-1', '-14'}
0	28	{'-7', '-8', '-1', '-14'}
0	29	{'-7', '-8', '-1', '-14'}
0	118	{'-7', '-8', '-14'}
0	52	{'-7', '-8', '-1', '-14'}
0	53	{'-7', '-8', '-14'}
0	36	{'-7', '-8', '-1', '-14'}
0	37	{'-7', '-8', '-1', '-14'}
0	44	{'-7', '-8', '-1', '-14'}
0	45	{'-7', '-8', '-14'}
0	136	{'-7', '-8', '-14'}
0	137	{'-7', '-8', '-14'}
0	79	{'-7', '-8', '-14'}
0	67	{'-7', '-8', '-14'}
0	90	{'-7', '-8', '-14'}
0	42	{'-7', '-8', '-1', '-14'}
0	43	{'-7', '-8', '-1', '-14'}
0	50	{'-7', '-8', '-1', '-14'}
0	57	{'-7', '-8', '-1', '-14'}
0	61	{'-7', '-8', '-14'}
0	165	{'-7', '-8'}
0	132	{'-7', '-8'}
0	133	{'-7', '-8', '-14'}
0	130	{'-7', '-8', '-14'}
0	156	{'-7', '-8'}
0	120	{'-7', '-8', '-14'}
0	48	{'-7', '-8', '-1', '-14'}
0	58	{'-7', '-8', '-1', '-14'}
0	59	{'-7', '-8', '-1', '-14'}
0	86	{'-7', '-8', '-1', '-14'}
0	203	{'-7', '-8'}
0	124	{'-7', '-8', '-14'}
0	80	{'-7', '-8', '-14'}
0	182	{'-7', '-8'}
0	183	{'-7', '-8'}
0	174	{'-7', '-8'}
0	175	{'-7', '-8'}
0	492	{'-7', '-8'}
0	177	{'-7', '-8'}
0	425	{'-7', '-8'}
0	150	{'-7', '-8', '-14'}
0	144	{'-7', '-8', '-14'}
0	139	{'-7', '-8', '-14'}
0	106	{'-7', '-8'}
0	595	{'-7', '-8'}
0	224	{'-7', '-8', '-14'}
0	363	{'-7', '-8'}
0	770	{'-7', '-8'}
0	556	{'-7', '-8'}
0	422	{'-7', '-8'}
0	423	{'-7', '-8'}
0	627	{'-7', '-8'}
0	237	{'-7', '-8'}
0	949	{'-7', '-8'}
0	587	{'-7', '-8'}
0	206	{'-7', '-8'}
0	207	{'-7', '-8', '-14'}
0	235	{'-7', '-8', '-14'}
0	327	{'-7', '-8'}
0	205	{'-7', '-8'}
0	344	{'-7', '-8'}
0	248	{'-7', '-8', '-14'}
0	1135	{'-7', '-8'}
0	541	{'-7', '-8'}
0	655	{'-7', '-8'}
0	343	{'-7', '-8'}
0	675	{'-7', '-8'}
0	1040	{'-7', '-8'}
0	238	{'-7', '-8', '-14'}
0	250	{'-7', '-8'}
0	888	{'-7', '-8'}
0	1108	{'-7', '-8'}
0	240	{'-7', '-8'}
0	269	{'-7', '-8'}
0	421	{'-7', '-8'}
0	1270	{'-7', '-8'}
0	921	{'-7', '-8'}
0	1351	{'-7', '-8'}
0	253	{'-7', '-8', '-14'}
0	308	{'-7', '-8'}
0	309	{'-7', '-8'}
0	331	{'-7', '-8'}
0	687	{'-7', '-8'}
0	432	{'-7', '-8'}
0	433	{'-7', '-8'}
0	1301	{'-7', '-8'}
0	958	{'-7', '-8'}
0	1084	{'-7', '-8'}
0	516	{'-7', '-8'}
1	0	{'-14', '-7', '-9', '-8', '-4', '-1'}
1	2	{'-14', '-7', '-8', '-4', '-1'}
1	3	{'-14', '-7', '-9', '-8', '-4', '-1'}
1	9	{'-14', '-7', '-8', '-4', '-1'}
1	4352	{'-7', '-8'}
1	4	{'-14', '-7', '-8', '-4', '-1'}
1	7	{'-14', '-7', '-9', '-8', '-4', '-1'}
1	22	{'-7', '-8', '-1', '-14'}
1	20	{'-7', '-8', '-1', '-14'}
1	12	{'-14', '-7', '-9', '-8', '-4', '-1'}
1	28	{'-7', '-8', '-1', '-14'}
1	29	{'-7', '-8', '-1', '-14'}
1	14	{'-14', '-7', '-8', '-4', '-1'}
1	44	{'-7', '-8', '-1', '-14'}
1	45	{'-7', '-8', '-1', '-14'}
1	131	{'-7', '-8', '-1', '-14'}
1	18	{'-7', '-8', '-1', '-14'}
1	51	{'-7', '-8', '-1', '-14'}
1	109	{'-7', '-8', '-14'}
1	142	{'-7', '-8'}
1	181	{'-7', '-8', '-14'}
1	201	{'-7', '-8', '-1', '-14'}
1	37	{'-7', '-8', '-1', '-14'}
1	76	{'-7', '-8', '-1', '-14'}
1	77	{'-7', '-8', '-14'}
1	269	{'-7', '-8'}
1	512	{'-7', '-8'}
1	218	{'-7', '-8', '-14'}
1	90	{'-7', '-8', '-1', '-14'}
1	91	{'-7', '-8', '-1', '-14'}
1	126	{'-7', '-8', '-1', '-14'}
1	127	{'-7', '-8', '-1', '-14'}
1	202	{'-7', '-8', '-14'}
1	112	{'-7', '-8', '-14'}
1	113	{'-7', '-8', '-1', '-14'}
1	95	{'-7', '-8', '-1', '-14'}
1	196	{'-7', '-8'}
1	185	{'-7', '-8', '-14'}
1	162	{'-7', '-8', '-14'}
1	265	{'-7', '-8'}
1	157	{'-7', '-8', '-14'}
1	152	{'-7', '-8', '-1', '-14'}
1	153	{'-7', '-8', '-1', '-14'}
1	247	{'-7', '-8'}
1	295	{'-7', '-8'}
1	256	{'-7', '-8', '-14'}
1	257	{'-7', '-8', '-14'}
1	591	{'-7', '-8'}
1	777	{'-7', '-8'}
1	183	{'-7', '-8', '-14'}
1	207	{'-7', '-8'}
1	214	{'-7', '-8'}
1	630	{'-7', '-8'}
1	606	{'-7', '-8'}
1	607	{'-7', '-8'}
1	397	{'-7', '-8'}
1	484	{'-7', '-8'}
1	814	{'-7', '-8'}
1	443	{'-7', '-8'}
1	771	{'-7', '-8'}
1	1843	{'-7', '-8'}
1	757	{'-7', '-8'}
1	668	{'-7', '-8'}
1	669	{'-7', '-8'}
1	732	{'-7', '-8'}
1	542	{'-7', '-8'}
1	1542	{'-7', '-8'}
1	1142	{'-7', '-8'}
1	1429	{'-7', '-8'}
1	1534	{'-7', '-8'}
1	1820	{'-7', '-8'}
1	1850	{'-7', '-8'}
2	0	{'-14', '-7', '-9', '-8', '-4', '-1'}
2	2	{'-14', '-7', '-9', '-8', '-4', '-1'}
2	3	{'-14', '-7', '-8', '-4', '-1'}
2	4	{'-14', '-7', '-9', '-8', '-4', '-1'}
2	5	{'-14', '-7', '-8', '-4', '-1'}
2	11	{'-14', '-7', '-8', '-4', '-1'}
2	8	{'-7', '-8', '-1', '-14'}
2	13	{'-7', '-8', '-14'}
2	18	{'-7', '-8', '-1', '-14'}
2	19	{'-7', '-8', '-1', '-14'}
2	121	{'-7', '-8', '-14'}
2	23	{'-7', '-8', '-1', '-14'}
2	37	{'-7', '-8', '-1', '-14'}
2	28	{'-7', '-8', '-1', '-14'}
2	29	{'-7', '-8', '-1', '-14'}
2	168	{'-7', '-8'}
2	56	{'-7', '-8', '-1', '-14'}
2	62	{'-7', '-8', '-1', '-14'}
2	84	{'-7', '-8', '-14'}
2	50	{'-7', '-8', '-1', '-14'}
2	44	{'-7', '-8', '-1', '-14'}
2	106	{'-7', '-8', '-1', '-14'}
2	203	{'-7', '-8'}
2	193	{'-7', '-8'}
2	188	{'-7', '-8', '-14'}
2	487	{'-7', '-8'}
2	58	{'-7', '-8', '-1', '-14'}
2	77	{'-7', '-8', '-14'}
2	142	{'-7', '-8'}
2	740	{'-7', '-8'}
2	403	{'-7', '-8'}
2	90	{'-7', '-8'}
2	91	{'-7', '-8', '-1', '-14'}
2	186	{'-7', '-8'}
2	187	{'-7', '-8', '-14'}
2	201	{'-7', '-8'}
2	219	{'-7', '-8'}
2	927	{'-7', '-8'}
2	675	{'-7', '-8'}
2	760	{'-7', '-8'}
2	210	{'-7', '-8'}
2	211	{'-7', '-8'}
2	144	{'-7', '-8'}
2	207	{'-7', '-8'}
2	1645	{'-7', '-8'}
2	627	{'-7', '-8'}
2	1419	{'-7', '-8'}
2	1110	{'-7', '-8'}
2	872	{'-7', '-8'}
2	1597	{'-7', '-8'}
2	224	{'-7', '-8'}
2	225	{'-7', '-8'}
2	172	{'-7', '-8'}
2	173	{'-7', '-8'}
2	282	{'-7', '-8'}
2	499	{'-7', '-8'}
2	711	{'-7', '-8'}
