tree_index	node_name	label
0	0	{'-12', '-5', '-9', '-2', '-3', '-15'}
1	0	{'-12', '-5', '-9', '-2', '-3', '-15'}
2	0	{'-12', '-5', '-9', '-2', '-3', '-15'}
3	0	{'-12', '-5', '-9', '-2', '-3', '-15'}
4	0	{'-12', '-5', '-9', '-2', '-3', '-15'}
0	10	{'-9', '-15'}
1	10	{'-9', '-15'}
3	10	{'-12', '-5', '-9', '-2', '-3', '-15'}
1	101	{'-2', '-3'}
2	101	{'-2', '-3'}
4	101	{'-2', '-3'}
4	1012	{'-2', '-3'}
4	1013	{'-2', '-3'}
0	102	{'-2', '-3'}
3	1032	{'-2', '-3'}
1	1034	{'-2', '-3'}
1	104	{'-2', '-3'}
3	106	{'-2', '-3'}
0	1066	{'-2', '-3'}
1	107	{'-2', '-3'}
2	107	{'-2', '-3'}
1	109	{'-2', '-3'}
4	1098	{'-2', '-3'}
0	11	{'-12', '-5', '-9', '-2', '-3', '-15'}
2	11	{'-9', '-15'}
4	11	{'-9', '-15'}
3	111	{'-2', '-3'}
0	1125	{'-2', '-3'}
1	1126	{'-2', '-3'}
1	114	{'-2', '-3'}
1	115	{'-2', '-3'}
0	119	{'-9', '-15'}
1	119	{'-2', '-3'}
1	1190	{'-2', '-3'}
0	1195	{'-2', '-3'}
4	1199	{'-2', '-3'}
0	12	{'-9', '-15'}
1	12	{'-9', '-15'}
4	12	{'-5', '-2'}
3	121	{'-2', '-3'}
3	1221	{'-2', '-3'}
0	125	{'-9', '-15'}
1	125	{'-2', '-3'}
1	126	{'-2', '-3'}
0	1288	{'-2', '-3'}
0	129	{'-2', '-3'}
1	129	{'-2', '-3'}
1	1291	{'-2', '-3'}
4	1294	{'-2', '-3'}
0	13	{'-5', '-2'}
3	132	{'-2', '-3'}
4	132	{'-2', '-3'}
3	1327	{'-2', '-3'}
1	133	{'-2', '-3'}
4	133	{'-2', '-3'}
2	1331	{'-2', '-3'}
0	134	{'-9', '-15'}
0	135	{'-9', '-15'}
3	135	{'-9', '-15'}
0	136	{'-2', '-3'}
4	1364	{'-2', '-3'}
0	137	{'-2', '-3'}
2	139	{'-2', '-3'}
3	139	{'-2', '-3'}
1	1398	{'-2', '-3'}
1	14	{'-2', '-3'}
2	14	{'-2', '-3'}
3	14	{'-12', '-5', '-9', '-2', '-3', '-15'}
1	140	{'-2', '-3'}
4	140	{'-2', '-3'}
0	1400	{'-2', '-3'}
3	1401	{'-2', '-3'}
2	1408	{'-2', '-3'}
4	141	{'-2', '-3'}
0	143	{'-9', '-15'}
0	1459	{'-2', '-3'}
4	1460	{'-2', '-3'}
0	148	{'-2', '-3'}
1	148	{'-2', '-3'}
3	148	{'-9', '-15'}
0	149	{'-2', '-3'}
0	15	{'-2', '-3'}
1	15	{'-2', '-3'}
2	15	{'-2', '-3'}
4	15	{'-5', '-2'}
1	150	{'-2', '-3'}
1	151	{'-2', '-3'}
