tree_index	node_name	label
0	0	{'-5', '-10', '-4', '-16', '-11', '-13'}
1	0	{'-5', '-10', '-4', '-16', '-11', '-13'}
2	0	{'-5', '-10', '-4', '-16', '-11', '-13'}
3	0	{'-5', '-10', '-4', '-16', '-11', '-13'}
4	0	{'-5', '-10', '-4', '-16', '-11', '-13'}
3	10	{'-5', '-10', '-4', '-16', '-11', '-13'}
4	10	{'-5', '-10', '-4', '-16', '-11', '-13'}
0	100	{'-11', '-13'}
4	100	{'-11', '-10'}
1	1000	{'-11', '-13'}
2	1000	{'-11', '-13'}
0	1009	{'-11', '-10'}
3	101	{'-11', '-10'}
4	101	{'-11', '-10'}
0	1010	{'-11', '-10'}
4	1010	{'-11', '-10'}
0	1011	{'-11', '-10'}
2	1011	{'-11', '-10'}
1	1012	{'-11', '-10'}
4	1024	{'-11', '-10'}
1	1025	{'-11', '-10'}
4	1025	{'-11', '-10'}
2	1027	{'-11', '-10'}
2	1028	{'-11', '-13'}
3	103	{'-11', '-10'}
3	1032	{'-11', '-13'}
3	1033	{'-11', '-13'}
2	1034	{'-11', '-13'}
1	1037	{'-11', '-13'}
1	104	{'-16', '-11', '-13', '-10'}
2	104	{'-16', '-11', '-13'}
4	104	{'-11', '-10'}
1	1040	{'-11', '-13'}
1	1042	{'-11', '-13'}
4	1047	{'-11', '-10'}
1	105	{'-11', '-10'}
4	105	{'-11', '-10'}
0	1051	{'-11', '-13'}
1	1052	{'-11', '-10'}
1	1053	{'-11', '-10'}
4	1056	{'-11', '-13'}
3	1059	{'-11', '-10'}
1	106	{'-11', '-13'}
2	106	{'-11', '-13'}
3	106	{'-16', '-11', '-13', '-10'}
0	1063	{'-11', '-13'}
4	1064	{'-11', '-10'}
3	1066	{'-11', '-10'}
3	1067	{'-11', '-10'}
0	107	{'-16', '-11', '-13'}
1	107	{'-16', '-11', '-13'}
2	107	{'-11', '-10'}
3	107	{'-16', '-11', '-13', '-10'}
0	1079	{'-11', '-10'}
