tree_index	node_name	label
0	0	{'-4', '-12', '-2', '-5', '-6', '-1'}
1	0	{'-4', '-12', '-2', '-5', '-6', '-1'}
2	0	{'-4', '-12', '-2', '-5', '-6', '-1'}
3	0	{'-4', '-12', '-2', '-5', '-6', '-1'}
4	0	{'-4', '-12', '-2', '-5', '-6', '-1'}
0	10	{'-12', '-4', '-1'}
1	10	{'-4', '-12', '-2', '-5', '-6', '-1'}
0	100	{'-6', '-5'}
1	100	{'-6', '-5'}
3	1009	{'-6', '-5'}
0	101	{'-6', '-5'}
2	1010	{'-6', '-5'}
4	1010	{'-6', '-5'}
2	1011	{'-6', '-5'}
4	102	{'-1', '-2'}
4	103	{'-1', '-2'}
4	104	{'-6', '-5'}
2	1043	{'-6', '-5'}
4	105	{'-6', '-5'}
4	107	{'-6', '-5'}
0	1082	{'-6', '-5'}
4	11	{'-6', '-5'}
4	1115	{'-6', '-5'}
0	1119	{'-6', '-5'}
0	112	{'-6', '-5'}
2	112	{'-1', '-2'}
0	1127	{'-6', '-5'}
2	1128	{'-6', '-5'}
0	113	{'-6', '-5'}
2	113	{'-1', '-2'}
3	1134	{'-6', '-5'}
4	1135	{'-6', '-5'}
4	114	{'-1', '-2'}
3	1149	{'-6', '-5'}
3	115	{'-6', '-5'}
3	1154	{'-6', '-5'}
0	1155	{'-6', '-5'}
1	116	{'-6', '-5'}
3	116	{'-6', '-5'}
0	1162	{'-6', '-5'}
4	1162	{'-6', '-5'}
4	1163	{'-6', '-5'}
4	1168	{'-6', '-5'}
2	117	{'-1', '-2'}
3	117	{'-6', '-5'}
0	1174	{'-6', '-5'}
3	1177	{'-6', '-5'}
3	1186	{'-6', '-5'}
3	1187	{'-6', '-5'}
4	119	{'-6', '-5'}
0	12	{'-12', '-1'}
2	12	{'-12', '-4', '-1'}
3	12	{'-12', '-1'}
4	12	{'-6', '-5'}
2	120	{'-1', '-2'}
3	1202	{'-6', '-5'}
4	122	{'-6', '-5'}
1	1221	{'-6', '-5'}
4	1226	{'-6', '-5'}
1	123	{'-6', '-5'}
0	1241	{'-6', '-5'}
0	1250	{'-6', '-5'}
4	1256	{'-6', '-5'}
0	126	{'-6', '-5'}
2	126	{'-6', '-5'}
4	126	{'-1', '-2'}
0	127	{'-6', '-5'}
4	127	{'-1', '-2'}
2	128	{'-1', '-2'}
4	128	{'-6', '-5'}
0	129	{'-6', '-5'}
1	129	{'-6', '-5'}
3	129	{'-6', '-5'}
1	13	{'-6', '-5'}
2	13	{'-1', '-2'}
0	1308	{'-6', '-5'}
4	132	{'-1', '-2'}
3	1321	{'-6', '-5'}
2	1349	{'-6', '-5'}
0	136	{'-6', '-5'}
1	136	{'-6', '-5'}
4	136	{'-6', '-5'}
0	1362	{'-6', '-5'}
1	137	{'-6', '-5'}
2	137	{'-1', '-2'}
4	137	{'-6', '-5'}
2	138	{'-1', '-2'}
1	139	{'-6', '-5'}
3	1391	{'-6', '-5'}
1	14	{'-4', '-12', '-2', '-5', '-6', '-1'}
2	14	{'-1', '-2'}
1	1404	{'-6', '-5'}
3	1405	{'-6', '-5'}
4	1418	{'-6', '-5'}
2	142	{'-1', '-2'}
2	1421	{'-6', '-5'}
4	143	{'-6', '-5'}
1	145	{'-6', '-5'}
4	1450	{'-6', '-5'}
1	1455	{'-6', '-5'}
3	146	{'-6', '-5'}
2	148	{'-1', '-2'}
0	15	{'-12', '-4', '-1'}
1	15	{'-12', '-1'}
4	15	{'-12', '-4', '-1'}
0	151	{'-6', '-5'}
2	152	{'-6', '-5'}
2	154	{'-6', '-5'}
3	154	{'-6', '-5'}
4	154	{'-12', '-1'}
2	155	{'-6', '-5'}
3	158	{'-6', '-5'}
2	16	{'-4', '-12', '-2', '-5', '-6', '-1'}
4	16	{'-12', '-4', '-1'}
1	161	{'-6', '-5'}
2	1618	{'-6', '-5'}
4	1639	{'-6', '-5'}
2	166	{'-1', '-2'}
2	167	{'-1', '-2'}
3	1671	{'-6', '-5'}
0	168	{'-6', '-5'}
3	168	{'-6', '-5'}
4	168	{'-1', '-2'}
1	1689	{'-6', '-5'}
0	169	{'-6', '-5'}
1	169	{'-6', '-5'}
1	1694	{'-6', '-5'}
1	1698	{'-6', '-5'}
1	17	{'-4', '-12', '-2', '-5', '-6', '-1'}
2	17	{'-12', '-4', '-1'}
4	17	{'-12', '-4', '-1'}
0	1713	{'-6', '-5'}
2	174	{'-1', '-2'}
2	175	{'-1', '-2'}
4	175	{'-1', '-2'}
2	176	{'-1', '-2'}
0	1764	{'-6', '-5'}
0	1765	{'-6', '-5'}
4	1767	{'-6', '-5'}
2	177	{'-1', '-2'}
2	1779	{'-6', '-5'}
