tree_index	node_name	label
0	0	{'-16', '-5', '-12', '-13', '-2', '-8', '-14', '-6', '-10', '-4', '-9', '-7', '-1', '-15'}
1	0	{'-16', '-5', '-12', '-13', '-2', '-8', '-14', '-6', '-10', '-4', '-9', '-7', '-1', '-15'}
2	0	{'-16', '-5', '-12', '-13', '-2', '-8', '-14', '-6', '-10', '-4', '-9', '-7', '-1', '-15'}
3	0	{'-16', '-5', '-12', '-13', '-2', '-8', '-14', '-6', '-10', '-4', '-9', '-7', '-1', '-15'}
4	0	{'-16', '-5', '-12', '-13', '-2', '-8', '-14', '-6', '-10', '-4', '-9', '-7', '-1', '-15'}
1	10	{'-16', '-5', '-12', '-13', '-2', '-8', '-14', '-6', '-10', '-4', '-9', '-7', '-1', '-15'}
3	10	{'-4', '-12', '-2'}
4	10	{'-16', '-5', '-12', '-13', '-2', '-8', '-14', '-6', '-10', '-4', '-9', '-7', '-1', '-15'}
1	100	{'-16', '-5', '-12', '-13', '-2', '-14', '-10', '-4', '-9', '-1', '-15'}
3	101	{'-16', '-12', '-13', '-14', '-10', '-9', '-1', '-15'}
3	1012	{'-12', '-8', '-6', '-7', '-5'}
0	1017	{'-16', '-12', '-13', '-14', '-10', '-9', '-1', '-15'}
0	102	{'-16', '-5', '-12', '-13', '-2', '-14', '-10', '-4', '-9', '-1', '-15'}
4	102	{'-4', '-12', '-2'}
4	1024	{'-16', '-12', '-13', '-14', '-10', '-9', '-1', '-15'}
4	1025	{'-16', '-12', '-13', '-14', '-10', '-9', '-1', '-15'}
4	1026	{'-4', '-12', '-2'}
1	103	{'-16', '-5', '-12', '-13', '-8', '-14', '-6', '-10', '-9', '-7', '-1', '-15'}
2	103	{'-16', '-5', '-12', '-13', '-2', '-8', '-14', '-6', '-10', '-4', '-9', '-7', '-1', '-15'}
3	103	{'-16', '-5', '-12', '-13', '-2', '-8', '-14', '-6', '-10', '-4', '-9', '-7', '-1', '-15'}
0	1031	{'-4', '-12', '-2'}
3	1037	{'-16', '-12', '-13', '-14', '-10', '-9', '-1', '-15'}
0	104	{'-16', '-12', '-13', '-14', '-10', '-9', '-1', '-15'}
2	104	{'-16', '-12', '-13', '-14', '-10', '-9', '-1', '-15'}
3	104	{'-4', '-12', '-2'}
2	1042	{'-4', '-12', '-2'}
4	1048	{'-16', '-12', '-13', '-14', '-10', '-9', '-1', '-15'}
0	105	{'-16', '-5', '-12', '-13', '-2', '-8', '-14', '-6', '-10', '-4', '-9', '-7', '-1', '-15'}
1	105	{'-12', '-8', '-6', '-7', '-5'}
2	105	{'-16', '-5', '-12', '-13', '-8', '-14', '-6', '-10', '-9', '-7', '-1', '-15'}
0	1050	{'-16', '-12', '-13', '-14', '-10', '-9', '-1', '-15'}
2	1052	{'-12', '-8', '-6', '-7', '-5'}
1	1053	{'-12', '-8', '-6', '-7', '-5'}
1	106	{'-4', '-12', '-2'}
2	106	{'-16', '-12', '-13', '-14', '-10', '-9', '-1', '-15'}
3	106	{'-4', '-12', '-2'}
