tree_index	node_name	label
0	0	{'-13', '-3', '-15', '-5', '-10', '-16', '-1', '-2', '-12', '-11'}
1	0	{'-13', '-3', '-15', '-5', '-10', '-16', '-1', '-2', '-12', '-11'}
2	0	{'-13', '-3', '-15', '-5', '-10', '-16', '-1', '-2', '-12', '-11'}
3	0	{'-13', '-3', '-15', '-5', '-10', '-16', '-1', '-2', '-12', '-11'}
4	0	{'-13', '-3', '-15', '-5', '-10', '-16', '-1', '-2', '-12', '-11'}
0	10	{'-3', '-5', '-10', '-16', '-1', '-2', '-11'}
2	10	{'-3', '-1'}
3	10	{'-13', '-3', '-15', '-5', '-10', '-16', '-1', '-2', '-12', '-11'}
1	100	{'-13', '-15', '-5', '-16', '-12', '-11'}
3	100	{'-10', '-16', '-11', '-5'}
2	1008	{'-1', '-2'}
3	1009	{'-1', '-2'}
1	101	{'-13', '-15', '-5', '-16', '-12', '-11'}
3	1013	{'-1', '-2'}
1	1014	{'-3', '-1'}
2	102	{'-3', '-1', '-2'}
2	1044	{'-1', '-2'}
0	105	{'-10', '-16', '-11', '-5'}
1	105	{'-10', '-16', '-11', '-5'}
4	105	{'-13', '-15', '-5', '-16', '-12', '-11'}
0	106	{'-10', '-16', '-11', '-5'}
2	106	{'-3', '-1', '-2'}
3	106	{'-13', '-15', '-5', '-16', '-12', '-11'}
4	106	{'-3', '-1', '-2'}
3	1063	{'-1', '-2'}
3	107	{'-13', '-15', '-5', '-16', '-12', '-11'}
0	108	{'-13', '-15', '-5', '-16', '-12', '-11'}
2	1082	{'-1', '-2'}
2	1083	{'-1', '-2'}
0	109	{'-13', '-15', '-5', '-16', '-12', '-11'}
1	1099	{'-1', '-2'}
1	11	{'-3', '-5', '-10', '-16', '-1', '-2', '-11'}
2	11	{'-3', '-5', '-10', '-16', '-1', '-2', '-11'}
3	11	{'-13', '-3', '-15', '-5', '-10', '-16', '-1', '-2', '-12', '-11'}
4	11	{'-13', '-3', '-15', '-5', '-10', '-16', '-1', '-2', '-12', '-11'}
0	110	{'-13', '-15', '-5', '-16', '-12', '-11'}
2	1104	{'-1', '-2'}
1	1106	{'-3', '-1', '-2'}
