tree_index	node_name	label
0	0	{'-1', '-10', '-4', '-15', '-11', '-13'}
1	0	{'-1', '-10', '-4', '-15', '-11', '-13'}
2	0	{'-1', '-10', '-4', '-15', '-11', '-13'}
3	0	{'-1', '-10', '-4', '-15', '-11', '-13'}
4	0	{'-1', '-10', '-4', '-15', '-11', '-13'}
0	10	{'-1', '-10', '-4', '-15', '-11', '-13'}
1	10	{'-1', '-15', '-13', '-4'}
3	1005	{'-15', '-13'}
3	1006	{'-15', '-4'}
1	1012	{'-15', '-4'}
1	1013	{'-15', '-4'}
1	1019	{'-15', '-4'}
4	1019	{'-15', '-13'}
3	102	{'-15', '-4'}
0	103	{'-15', '-4'}
2	103	{'-1', '-15', '-13'}
3	103	{'-15', '-4'}
2	1030	{'-15', '-13'}
2	1031	{'-15', '-13'}
2	1038	{'-15', '-13'}
1	1039	{'-15', '-4'}
0	104	{'-15', '-4'}
1	1049	{'-15', '-13'}
2	1051	{'-15', '-4'}
1	106	{'-15', '-4'}
4	106	{'-15', '-4'}
3	1060	{'-15', '-4'}
3	1062	{'-15', '-4'}
0	1066	{'-15', '-4'}
2	1067	{'-15', '-13'}
1	107	{'-15', '-4'}
4	107	{'-15', '-4'}
2	1070	{'-15', '-4'}
3	1070	{'-15', '-4'}
0	1072	{'-15', '-13'}
3	1077	{'-15', '-4'}
4	1077	{'-15', '-4'}
1	1079	{'-15', '-4'}
0	108	{'-1', '-15', '-13'}
1	1083	{'-15', '-4'}
1	1086	{'-15', '-4'}
2	1086	{'-15', '-4'}
4	1086	{'-15', '-4'}
1	1087	{'-15', '-4'}
2	1087	{'-15', '-4'}
4	1087	{'-15', '-4'}
1	1088	{'-15', '-4'}
0	109	{'-1', '-15', '-13'}
4	1092	{'-15', '-4'}
4	1093	{'-15', '-4'}
1	1099	{'-15', '-13'}
0	11	{'-1', '-15', '-13', '-4'}
1	11	{'-15', '-4'}
4	1100	{'-15', '-13'}
1	1106	{'-15', '-4'}
0	1110	{'-15', '-4'}
2	1116	{'-15', '-4'}
2	1117	{'-15', '-4'}
1	112	{'-15', '-13'}
4	112	{'-15', '-4'}
4	1122	{'-15', '-4'}
0	1123	{'-15', '-13'}
4	1123	{'-15', '-4'}
2	1124	{'-15', '-4'}
2	1125	{'-15', '-4'}
2	1128	{'-15', '-13'}
1	1129	{'-15', '-4'}
1	113	{'-1', '-15', '-13'}
2	1134	{'-15', '-13'}
3	1134	{'-15', '-4'}
3	1138	{'-15', '-13'}
4	1138	{'-15', '-4'}
4	1139	{'-15', '-4'}
1	1142	{'-15', '-4'}
1	1143	{'-15', '-4'}
3	1145	{'-15', '-13'}
2	115	{'-15', '-4'}
4	1151	{'-15', '-4'}
1	1152	{'-15', '-4'}
3	1152	{'-15', '-13'}
1	1153	{'-15', '-4'}
3	1153	{'-15', '-13'}
4	1155	{'-15', '-13'}
2	1157	{'-15', '-13'}
0	116	{'-1', '-15', '-13'}
2	116	{'-15', '-13'}
3	116	{'-15', '-4'}
4	116	{'-15', '-4'}
3	1168	{'-15', '-4'}
4	1170	{'-15', '-4'}
1	1172	{'-15', '-4'}
4	118	{'-15', '-13'}
2	1184	{'-15', '-13'}
1	1185	{'-15', '-4'}
4	119	{'-15', '-13'}
3	1190	{'-15', '-4'}
0	1194	{'-15', '-13'}
1	1194	{'-15', '-4'}
1	1198	{'-15', '-13'}
0	12	{'-1', '-10', '-4', '-15', '-11', '-13'}
1	12	{'-1', '-15', '-13', '-4'}
2	12	{'-1', '-15', '-13', '-4'}
3	12	{'-1', '-10', '-4', '-15', '-11', '-13'}
1	1200	{'-15', '-4'}
4	1200	{'-15', '-4'}
4	1201	{'-15', '-4'}
1	1202	{'-15', '-4'}
1	1203	{'-15', '-4'}
4	1207	{'-15', '-4'}
3	1208	{'-15', '-4'}
3	121	{'-1', '-15', '-13'}
1	1211	{'-15', '-4'}
4	1216	{'-15', '-4'}
2	1217	{'-15', '-4'}
1	1218	{'-15', '-4'}
4	122	{'-15', '-13'}
1	1221	{'-15', '-13'}
3	1222	{'-15', '-4'}
4	1222	{'-15', '-4'}
3	1223	{'-15', '-4'}
4	1223	{'-15', '-4'}
0	1226	{'-15', '-4'}
0	1227	{'-15', '-4'}
0	123	{'-1', '-15', '-13'}
4	1230	{'-15', '-4'}
2	1231	{'-15', '-4'}
0	125	{'-15', '-13'}
0	1251	{'-15', '-4'}
0	1255	{'-15', '-13'}
4	1257	{'-15', '-13'}
0	1259	{'-1', '-15', '-13'}
3	1259	{'-15', '-4'}
4	1259	{'-15', '-13'}
0	126	{'-15', '-4'}
3	1260	{'-15', '-4'}
3	1269	{'-15', '-13'}
1	127	{'-15', '-4'}
3	127	{'-15', '-4'}
4	1277	{'-15', '-4'}
3	128	{'-15', '-4'}
0	1285	{'-15', '-13'}
0	1286	{'-15', '-13'}
0	1287	{'-15', '-13'}
3	1288	{'-15', '-13'}
1	129	{'-15', '-4'}
3	129	{'-15', '-4'}
0	1294	{'-15', '-13'}
2	1294	{'-15', '-4'}
4	13	{'-1', '-15', '-13', '-4'}
0	130	{'-1', '-15', '-13'}
1	1308	{'-15', '-4'}
1	1309	{'-15', '-4'}
0	131	{'-1', '-15', '-13'}
1	131	{'-1', '-15', '-13'}
0	1310	{'-15', '-13'}
2	1310	{'-15', '-4'}
0	1312	{'-15', '-4'}
0	132	{'-1', '-15', '-13'}
3	1320	{'-15', '-13'}
4	1320	{'-15', '-13'}
3	1321	{'-15', '-13'}
0	1322	{'-15', '-13'}
2	1322	{'-15', '-4'}
1	1324	{'-15', '-4'}
1	1325	{'-15', '-4'}
2	1326	{'-15', '-13'}
2	1327	{'-15', '-13'}
1	1332	{'-15', '-4'}
2	1332	{'-15', '-13'}
0	134	{'-1', '-15', '-13'}
1	1342	{'-15', '-4'}
2	1342	{'-15', '-13'}
3	1349	{'-15', '-13'}
4	1354	{'-15', '-4'}
0	1358	{'-15', '-13'}
0	1359	{'-15', '-13'}
0	136	{'-15', '-13'}
1	136	{'-15', '-4'}
0	1360	{'-15', '-4'}
0	1363	{'-15', '-4'}
4	1364	{'-15', '-4'}
0	137	{'-1', '-15', '-13'}
0	1371	{'-15', '-4'}
2	1373	{'-15', '-4'}
0	1374	{'-15', '-13'}
1	1374	{'-15', '-4'}
0	1375	{'-15', '-13'}
1	1375	{'-15', '-4'}
4	1375	{'-15', '-4'}
2	1378	{'-15', '-4'}
2	1385	{'-15', '-13'}
1	139	{'-15', '-13'}
2	1390	{'-15', '-4'}
4	1390	{'-15', '-4'}
1	1394	{'-15', '-4'}
2	14	{'-1', '-15', '-13'}
4	14	{'-15', '-4'}
0	1401	{'-15', '-4'}
2	1401	{'-15', '-13'}
3	1402	{'-15', '-4'}
0	1403	{'-15', '-13'}
3	1407	{'-15', '-4'}
2	1416	{'-15', '-4'}
2	1417	{'-15', '-4'}
4	1418	{'-15', '-4'}
4	1419	{'-15', '-4'}
3	142	{'-15', '-4'}
0	1429	{'-15', '-4'}
3	143	{'-15', '-4'}
4	1431	{'-15', '-4'}
0	1434	{'-15', '-13'}
0	1435	{'-15', '-13'}
3	1436	{'-15', '-4'}
1	1438	{'-15', '-4'}
0	144	{'-1', '-15', '-13'}
3	144	{'-15', '-13'}
4	144	{'-15', '-4'}
1	1441	{'-15', '-4'}
2	1444	{'-15', '-4'}
2	1445	{'-15', '-4'}
4	1446	{'-15', '-13'}
2	145	{'-15', '-4'}
3	145	{'-1', '-15', '-13'}
1	1453	{'-15', '-13'}
1	1455	{'-15', '-4'}
1	1457	{'-15', '-4'}
1	1458	{'-15', '-13'}
0	146	{'-15', '-4'}
4	146	{'-15', '-4'}
2	1462	{'-15', '-4'}
4	1463	{'-15', '-4'}
0	1471	{'-15', '-13'}
3	1471	{'-15', '-4'}
1	1476	{'-15', '-4'}
2	1479	{'-15', '-4'}
3	148	{'-1', '-15', '-13'}
1	1483	{'-15', '-4'}
4	1491	{'-15', '-4'}
1	1492	{'-15', '-4'}
0	1497	{'-15', '-13'}
4	1497	{'-15', '-4'}
4	1498	{'-15', '-4'}
0	15	{'-1', '-10', '-4', '-15', '-11', '-13'}
2	15	{'-1', '-15', '-13', '-4'}
4	15	{'-1', '-15', '-13', '-4'}
1	150	{'-15', '-4'}
4	1502	{'-15', '-4'}
1	151	{'-15', '-4'}
1	1510	{'-15', '-4'}
4	1511	{'-15', '-4'}
1	1512	{'-15', '-13'}
0	1517	{'-15', '-13'}
2	1520	{'-15', '-4'}
0	1524	{'-15', '-13'}
4	1524	{'-15', '-4'}
1	1538	{'-15', '-4'}
1	1539	{'-15', '-4'}
4	154	{'-15', '-4'}
3	1543	{'-15', '-4'}
4	1543	{'-15', '-4'}
0	155	{'-1', '-15', '-13'}
0	156	{'-1', '-15', '-13'}
2	156	{'-15', '-4'}
1	1568	{'-15', '-4'}
2	157	{'-15', '-4'}
3	1570	{'-15', '-4'}
3	1571	{'-15', '-4'}
4	158	{'-15', '-13'}
0	1583	{'-15', '-4'}
2	1588	{'-15', '-4'}
0	159	{'-1', '-15', '-13'}
1	159	{'-15', '-4'}
4	159	{'-15', '-13'}
4	1592	{'-15', '-4'}
4	1596	{'-15', '-13'}
0	16	{'-1', '-10', '-4', '-15', '-11', '-13'}
2	1601	{'-15', '-4'}
2	1605	{'-15', '-13'}
2	1606	{'-15', '-4'}
3	1609	{'-15', '-13'}
4	1613	{'-15', '-4'}
0	1615	{'-15', '-13'}
3	162	{'-15', '-4'}
2	1621	{'-15', '-4'}
0	1622	{'-15', '-13'}
3	163	{'-15', '-4'}
1	1630	{'-15', '-4'}
0	1632	{'-15', '-13'}
3	1635	{'-15', '-13'}
3	1639	{'-15', '-4'}
0	1640	{'-15', '-4'}
3	1657	{'-15', '-4'}
0	1658	{'-15', '-13'}
0	166	{'-1', '-15', '-13'}
3	166	{'-15', '-4'}
1	1660	{'-15', '-4'}
1	1661	{'-15', '-4'}
0	167	{'-1', '-15', '-13'}
1	167	{'-15', '-4'}
3	167	{'-15', '-4'}
0	1670	{'-15', '-4'}
2	1676	{'-15', '-4'}
1	1677	{'-15', '-13'}
2	1677	{'-15', '-4'}
2	1678	{'-15', '-4'}
3	1679	{'-15', '-4'}
3	168	{'-15', '-4'}
3	1683	{'-15', '-4'}
1	1687	{'-15', '-4'}
4	169	{'-15', '-4'}
1	1694	{'-15', '-4'}
3	1697	{'-15', '-4'}
2	17	{'-1', '-15', '-13', '-4'}
1	170	{'-15', '-4'}
3	1701	{'-15', '-4'}
3	1702	{'-15', '-4'}
4	1705	{'-15', '-4'}
2	1709	{'-15', '-4'}
3	171	{'-15', '-13'}
0	172	{'-15', '-4'}
2	1720	{'-15', '-4'}
0	1722	{'-15', '-13'}
0	1723	{'-15', '-13'}
3	1734	{'-15', '-4'}
3	1735	{'-15', '-4'}
2	1736	{'-15', '-4'}
1	1738	{'-15', '-4'}
2	174	{'-15', '-13'}
0	175	{'-1', '-15', '-13'}
1	175	{'-15', '-4'}
3	1750	{'-15', '-4'}
4	176	{'-15', '-13'}
0	1766	{'-15', '-4'}
0	1767	{'-15', '-4'}
4	177	{'-15', '-13'}
1	1772	{'-15', '-4'}
4	1782	{'-15', '-4'}
1	18	{'-1', '-15', '-13', '-4'}
4	180	{'-15', '-4'}
0	1803	{'-15', '-13'}
4	1809	{'-15', '-4'}
4	181	{'-15', '-4'}
1	1817	{'-15', '-4'}
0	1820	{'-15', '-4'}
1	1821	{'-15', '-4'}
0	1822	{'-15', '-13'}
1	1825	{'-15', '-4'}
4	1826	{'-15', '-4'}
1	183	{'-15', '-13'}
1	1830	{'-15', '-4'}
4	1833	{'-15', '-4'}
2	1835	{'-15', '-4'}
2	1837	{'-15', '-4'}
0	1842	{'-15', '-13'}
1	1843	{'-15', '-4'}
3	1844	{'-15', '-13'}
3	1856	{'-15', '-4'}
1	186	{'-15', '-4'}
1	187	{'-15', '-4'}
3	1876	{'-15', '-4'}
3	1877	{'-15', '-4'}
0	188	{'-15', '-4'}
3	1882	{'-15', '-4'}
2	1884	{'-15', '-4'}
2	1885	{'-15', '-4'}
0	189	{'-15', '-4'}
1	1890	{'-15', '-4'}
1	1891	{'-15', '-4'}
1	1898	{'-15', '-4'}
3	1898	{'-15', '-4'}
1	1899	{'-15', '-4'}
0	19	{'-1', '-15', '-13'}
3	19	{'-1', '-15', '-13', '-4'}
0	191	{'-1', '-15', '-13'}
2	1910	{'-15', '-4'}
1	1912	{'-15', '-4'}
2	1914	{'-15', '-4'}
2	1915	{'-15', '-4'}
2	1916	{'-15', '-4'}
2	1923	{'-15', '-13'}
3	1929	{'-15', '-4'}
3	193	{'-15', '-13'}
3	1933	{'-15', '-13'}
3	1938	{'-15', '-4'}
4	194	{'-15', '-13'}
0	1947	{'-15', '-13'}
3	1948	{'-15', '-4'}
3	195	{'-15', '-4'}
2	1952	{'-15', '-4'}
2	196	{'-15', '-4'}
1	1960	{'-15', '-4'}
0	1965	{'-15', '-13'}
0	197	{'-15', '-13'}
4	197	{'-15', '-4'}
3	1971	{'-15', '-4'}
1	1979	{'-15', '-13'}
4	198	{'-15', '-13'}
2	1980	{'-15', '-4'}
2	1981	{'-15', '-4'}
1	1982	{'-15', '-4'}
2	1986	{'-15', '-13'}
4	199	{'-15', '-13'}
2	1990	{'-15', '-4'}
2	1991	{'-15', '-4'}
0	2	{'-1', '-15', '-13', '-4'}
1	2	{'-1', '-10', '-4', '-15', '-11', '-13'}
3	2	{'-1', '-10', '-4', '-15', '-11', '-13'}
0	20	{'-1', '-15', '-13', '-4'}
4	20	{'-1', '-15', '-13', '-4'}
1	200	{'-15', '-4'}
4	200	{'-15', '-4'}
2	2001	{'-15', '-13'}
3	2002	{'-15', '-4'}
2	2006	{'-15', '-4'}
1	2007	{'-15', '-4'}
2	2007	{'-15', '-4'}
0	2013	{'-15', '-4'}
4	2014	{'-15', '-4'}
0	2016	{'-15', '-13'}
2	2018	{'-15', '-4'}
2	2019	{'-15', '-4'}
0	202	{'-1', '-15', '-13'}
1	2028	{'-15', '-4'}
1	2029	{'-15', '-4'}
0	203	{'-15', '-13'}
2	203	{'-15', '-4'}
4	203	{'-15', '-4'}
1	2032	{'-15', '-4'}
2	204	{'-15', '-13'}
3	2044	{'-15', '-4'}
0	2049	{'-15', '-13'}
0	205	{'-15', '-4'}
2	205	{'-15', '-13'}
2	2054	{'-15', '-4'}
1	2055	{'-15', '-4'}
2	2055	{'-15', '-4'}
1	2059	{'-15', '-4'}
0	206	{'-1', '-15', '-13'}
2	206	{'-15', '-13'}
1	2063	{'-15', '-4'}
0	207	{'-15', '-13'}
0	2072	{'-15', '-13'}
2	2074	{'-15', '-4'}
3	2074	{'-15', '-4'}
4	2074	{'-15', '-4'}
3	2075	{'-15', '-4'}
4	2075	{'-15', '-4'}
1	2090	{'-15', '-4'}
0	2091	{'-15', '-13'}
1	2094	{'-15', '-13'}
4	2097	{'-15', '-4'}
4	21	{'-1', '-15', '-13', '-4'}
2	2101	{'-15', '-4'}
3	2110	{'-15', '-13'}
2	2113	{'-15', '-4'}
4	2113	{'-15', '-4'}
1	2116	{'-15', '-4'}
2	2116	{'-15', '-4'}
3	2116	{'-15', '-4'}
4	2116	{'-15', '-4'}
2	2117	{'-15', '-4'}
4	2132	{'-15', '-4'}
4	2133	{'-15', '-4'}
0	2134	{'-15', '-4'}
0	215	{'-15', '-4'}
3	215	{'-15', '-13'}
0	2155	{'-15', '-13'}
3	2162	{'-15', '-4'}
3	2177	{'-15', '-4'}
1	218	{'-15', '-4'}
4	218	{'-15', '-13'}
2	2180	{'-15', '-4'}
0	219	{'-15', '-13'}
1	219	{'-15', '-4'}
4	219	{'-15', '-13'}
1	22	{'-15', '-4'}
2	22	{'-1', '-15', '-13'}
0	220	{'-15', '-13'}
1	221	{'-15', '-13'}
4	2210	{'-15', '-4'}
2	2211	{'-15', '-4'}
1	2213	{'-15', '-4'}
1	2215	{'-15', '-4'}
3	2233	{'-15', '-4'}
0	2236	{'-15', '-13'}
3	2240	{'-15', '-4'}
3	2244	{'-15', '-4'}
4	2249	{'-15', '-4'}
3	2258	{'-15', '-4'}
4	226	{'-15', '-4'}
2	2268	{'-15', '-4'}
1	2269	{'-15', '-4'}
0	227	{'-15', '-13'}
4	227	{'-15', '-4'}
4	2278	{'-15', '-4'}
3	2279	{'-15', '-4'}
3	2280	{'-15', '-4'}
3	2281	{'-15', '-4'}
0	2282	{'-15', '-4'}
1	2284	{'-15', '-4'}
1	2285	{'-15', '-4'}
4	2289	{'-15', '-4'}
4	229	{'-15', '-4'}
1	2291	{'-15', '-4'}
4	2294	{'-15', '-4'}
0	23	{'-1', '-15', '-13', '-4'}
2	23	{'-1', '-15', '-13', '-4'}
3	23	{'-1', '-15', '-13', '-4'}
0	2309	{'-15', '-13'}
0	231	{'-15', '-13'}
4	2326	{'-15', '-4'}
0	2334	{'-15', '-13'}
1	2343	{'-15', '-4'}
1	2350	{'-15', '-4'}
4	2357	{'-15', '-4'}
0	236	{'-15', '-13'}
2	2373	{'-15', '-4'}
0	2382	{'-15', '-13'}
4	2391	{'-15', '-4'}
2	2392	{'-15', '-4'}
1	2394	{'-15', '-4'}
0	2395	{'-15', '-4'}
1	2395	{'-15', '-4'}
1	24	{'-1', '-15', '-13', '-4'}
3	240	{'-15', '-13'}
2	2402	{'-15', '-4'}
2	2403	{'-15', '-4'}
3	241	{'-15', '-13'}
3	2412	{'-15', '-4'}
3	2413	{'-15', '-4'}
0	2425	{'-15', '-13'}
1	2438	{'-15', '-4'}
2	244	{'-15', '-4'}
3	2449	{'-15', '-4'}
1	2454	{'-15', '-4'}
2	2472	{'-15', '-4'}
3	2475	{'-15', '-4'}
4	2477	{'-15', '-4'}
1	2481	{'-15', '-4'}
1	2488	{'-15', '-4'}
4	2490	{'-15', '-4'}
4	2498	{'-15', '-4'}
2	251	{'-15', '-13'}
4	251	{'-15', '-4'}
1	2511	{'-15', '-4'}
3	2516	{'-15', '-4'}
3	2517	{'-15', '-4'}
4	252	{'-15', '-4'}
0	2528	{'-15', '-4'}
0	2530	{'-15', '-4'}
1	2533	{'-15', '-4'}
3	2536	{'-15', '-4'}
3	2537	{'-15', '-4'}
3	254	{'-15', '-13'}
3	2545	{'-15', '-4'}
0	255	{'-15', '-13'}
3	255	{'-15', '-13'}
0	256	{'-15', '-13'}
3	256	{'-15', '-13'}
0	2570	{'-15', '-4'}
0	2572	{'-15', '-4'}
0	2575	{'-15', '-13'}
1	2579	{'-15', '-4'}
1	2586	{'-15', '-4'}
1	2591	{'-15', '-4'}
0	26	{'-1', '-15', '-13'}
3	2604	{'-15', '-4'}
4	2613	{'-15', '-4'}
0	2620	{'-15', '-4'}
2	264	{'-15', '-4'}
4	2643	{'-15', '-4'}
2	265	{'-15', '-4'}
1	2650	{'-15', '-4'}
3	266	{'-15', '-4'}
1	2672	{'-15', '-4'}
3	2677	{'-15', '-4'}
2	2680	{'-15', '-4'}
2	2681	{'-15', '-4'}
3	2682	{'-15', '-4'}
4	2682	{'-15', '-4'}
1	2691	{'-15', '-4'}
1	27	{'-1', '-15', '-13', '-4'}
4	270	{'-15', '-13'}
2	2701	{'-15', '-4'}
0	271	{'-15', '-4'}
4	271	{'-15', '-13'}
3	2710	{'-15', '-4'}
2	2714	{'-15', '-4'}
2	272	{'-15', '-4'}
3	2724	{'-15', '-4'}
4	2727	{'-15', '-4'}
0	2733	{'-15', '-4'}
1	2739	{'-15', '-4'}
3	274	{'-15', '-13'}
4	274	{'-15', '-4'}
3	275	{'-15', '-13'}
4	275	{'-15', '-4'}
2	276	{'-15', '-4'}
3	2769	{'-15', '-4'}
2	277	{'-15', '-4'}
2	2774	{'-15', '-4'}
3	2778	{'-15', '-4'}
2	278	{'-15', '-13'}
0	279	{'-15', '-4'}
1	2793	{'-15', '-4'}
4	2797	{'-15', '-4'}
2	2799	{'-15', '-4'}
0	28	{'-1', '-15', '-13', '-4'}
3	28	{'-1', '-15', '-13'}
1	280	{'-15', '-13'}
1	2812	{'-15', '-4'}
0	282	{'-15', '-13'}
1	2823	{'-15', '-4'}
0	2826	{'-15', '-13'}
3	2826	{'-15', '-4'}
4	283	{'-15', '-4'}
4	2832	{'-15', '-4'}
2	2835	{'-15', '-4'}
1	2850	{'-15', '-4'}
1	2852	{'-15', '-4'}
0	2856	{'-15', '-13'}
0	2857	{'-15', '-13'}
3	286	{'-15', '-4'}
1	2862	{'-15', '-4'}
1	2863	{'-15', '-4'}
1	287	{'-15', '-4'}
3	287	{'-15', '-4'}
4	287	{'-15', '-13'}
1	2878	{'-15', '-4'}
1	2891	{'-15', '-4'}
0	29	{'-1', '-15', '-13', '-4'}
3	29	{'-15', '-4'}
2	2900	{'-15', '-4'}
2	2901	{'-15', '-4'}
0	292	{'-15', '-4'}
2	2929	{'-15', '-4'}
0	293	{'-15', '-4'}
3	293	{'-15', '-4'}
1	2934	{'-15', '-4'}
1	2935	{'-15', '-4'}
1	294	{'-15', '-4'}
2	294	{'-15', '-4'}
3	2942	{'-15', '-4'}
1	295	{'-15', '-4'}
2	295	{'-15', '-4'}
3	2950	{'-15', '-4'}
3	2951	{'-15', '-4'}
3	2958	{'-15', '-4'}
3	2959	{'-15', '-4'}
3	2965	{'-15', '-4'}
0	2975	{'-15', '-4'}
0	3	{'-1', '-10', '-4', '-15', '-11', '-13'}
1	3	{'-1', '-10', '-4', '-15', '-11', '-13'}
3	3	{'-1', '-10', '-4', '-15', '-11', '-13'}
4	30	{'-15', '-4'}
2	3034	{'-15', '-4'}
1	3040	{'-15', '-4'}
4	3051	{'-15', '-4'}
4	3056	{'-15', '-4'}
3	306	{'-15', '-4'}
3	3076	{'-15', '-4'}
1	3089	{'-15', '-4'}
3	3089	{'-15', '-4'}
0	3094	{'-15', '-4'}
0	3095	{'-15', '-4'}
1	311	{'-15', '-4'}
4	311	{'-15', '-4'}
4	312	{'-15', '-13'}
1	3125	{'-15', '-4'}
4	313	{'-15', '-13'}
4	3130	{'-15', '-4'}
4	3131	{'-15', '-4'}
0	314	{'-15', '-13'}
3	314	{'-15', '-4'}
2	3140	{'-15', '-4'}
4	3141	{'-15', '-4'}
1	3142	{'-15', '-4'}
1	3143	{'-15', '-4'}
1	3145	{'-15', '-4'}
3	3146	{'-15', '-4'}
3	315	{'-15', '-4'}
2	3155	{'-15', '-4'}
0	316	{'-15', '-13'}
1	316	{'-15', '-4'}
4	3165	{'-15', '-4'}
4	3168	{'-15', '-4'}
0	3174	{'-15', '-4'}
3	3174	{'-15', '-4'}
3	318	{'-15', '-4'}
3	3182	{'-15', '-4'}
3	3195	{'-15', '-4'}
2	32	{'-15', '-4'}
0	3221	{'-15', '-4'}
3	3231	{'-15', '-4'}
2	3237	{'-15', '-4'}
0	3242	{'-15', '-4'}
0	325	{'-15', '-13'}
2	325	{'-15', '-4'}
1	3250	{'-15', '-4'}
2	3250	{'-15', '-4'}
2	3251	{'-15', '-4'}
3	3254	{'-15', '-4'}
3	3255	{'-15', '-4'}
0	326	{'-15', '-4'}
3	326	{'-15', '-4'}
0	327	{'-1', '-15', '-13'}
2	328	{'-15', '-4'}
1	3282	{'-15', '-4'}
1	3285	{'-15', '-4'}
2	329	{'-15', '-4'}
2	3295	{'-15', '-4'}
0	33	{'-1', '-15', '-13'}
2	33	{'-1', '-15', '-13', '-4'}
4	330	{'-15', '-13'}
3	3333	{'-15', '-4'}
1	334	{'-15', '-4'}
1	335	{'-15', '-4'}
1	3358	{'-15', '-4'}
0	336	{'-15', '-4'}
2	337	{'-15', '-13'}
0	339	{'-15', '-13'}
4	339	{'-15', '-4'}
0	34	{'-1', '-15', '-13'}
4	3407	{'-15', '-4'}
3	3413	{'-15', '-4'}
4	3418	{'-15', '-4'}
4	3433	{'-15', '-4'}
4	3440	{'-15', '-4'}
2	3449	{'-15', '-4'}
1	3452	{'-15', '-4'}
1	3457	{'-15', '-4'}
1	3461	{'-15', '-4'}
2	3486	{'-15', '-4'}
2	3490	{'-15', '-4'}
3	35	{'-1', '-15', '-13'}
4	35	{'-1', '-15', '-13'}
4	350	{'-15', '-13'}
3	3509	{'-15', '-4'}
0	351	{'-15', '-4'}
1	3517	{'-15', '-4'}
3	3527	{'-15', '-4'}
3	353	{'-15', '-4'}
2	3530	{'-15', '-4'}
0	3532	{'-15', '-4'}
0	3533	{'-15', '-4'}
1	3538	{'-15', '-4'}
1	354	{'-15', '-4'}
1	355	{'-15', '-4'}
0	3551	{'-15', '-4'}
0	3554	{'-15', '-4'}
4	356	{'-15', '-4'}
0	3565	{'-15', '-4'}
4	357	{'-15', '-4'}
3	3571	{'-15', '-4'}
0	359	{'-15', '-4'}
3	36	{'-1', '-15', '-13', '-4'}
1	360	{'-15', '-4'}
4	360	{'-15', '-4'}
2	3600	{'-15', '-4'}
2	3601	{'-15', '-4'}
2	3608	{'-15', '-4'}
1	361	{'-15', '-4'}
4	361	{'-15', '-4'}
3	3611	{'-15', '-4'}
0	362	{'-15', '-13'}
1	362	{'-15', '-4'}
1	3624	{'-15', '-4'}
1	363	{'-15', '-4'}
2	3633	{'-15', '-4'}
0	364	{'-15', '-13'}
4	364	{'-15', '-13'}
