tree_index	node_name	label
0	0	{'-8', '-14', '-9', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
1	0	{'-8', '-14', '-9', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
2	0	{'-8', '-14', '-9', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
3	0	{'-8', '-14', '-9', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
4	0	{'-8', '-14', '-9', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
1	10	{'-8', '-14', '-9', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
2	10	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
3	10	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	100	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
4	1000	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
1	1001	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
4	1005	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
1	1006	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
1	1007	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
3	1007	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
4	1007	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
1	1008	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
0	101	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
3	101	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	101	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
3	1010	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
1	1011	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	1011	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
1	1012	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
1	1013	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
4	1014	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
1	10164	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
1	1018	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	1019	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
3	102	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	1021	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
1	1022	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
2	10269	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
3	1027	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
2	10297	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
0	103	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
1	103	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
2	103	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
3	10307	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	1034	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
1	1036	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
0	1037	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
2	1037	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
3	1038	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
2	1039	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
3	1039	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
1	104	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
3	104	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	104	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	1040	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
1	1043	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
0	10477	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
3	1048	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	1048	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
0	105	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
2	105	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
3	105	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	105	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
3	10504	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
3	1052	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
3	1053	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	1053	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
0	1057	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	1057	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
0	106	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	106	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
0	1060	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
3	10665	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	1068	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
1	107	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	107	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
3	1072	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
3	1073	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
3	1074	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
1	1076	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
2	1076	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	10774	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
1	10799	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
2	108	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
3	108	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	108	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	1081	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
0	1082	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
1	1082	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
0	1083	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
1	1083	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
2	1083	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
2	10830	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
2	1086	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
2	1087	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	1087	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
4	1089	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
0	109	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
1	109	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
2	109	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
3	109	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
2	1090	{'-8', '-14', '-15', '-11', '-10', '-2', '-5', '-7', '-4', '-13', '-16', '-1', '-3'}
4	1091	{'-14', '-9', '-15', '-11', '-2', '-13', '-16', '-10'}
