Type,MapIdx,Cells,Jaccard,GT Loss,Pred Loss,Edge Jaccard,IM Similarity
6,2,50,0.333333,-432.065708,-401.451324,0.578947,0.820727
6,3,50,0,-311.549095,-352.500189,0.3125,0.838226
6,4,50,0,-492.865902,-536.589584,0.294118,0.774306
6,5,50,0,-257.970934,-297.535733,0.214286,0.87347
6,6,50,0,-332.188572,-377.521693,0.333333,0.760132
6,7,50,0,-208.847458,-247.695394,0.153846,0.838694
6,8,50,0.333333,-303.508241,-339.107697,0.611111,0.83875
6,9,50,0.333333,-422.736931,-457.652094,0.611111,0.89713
6,10,50,0,-232.526058,-270.258276,0.076923,0.864816
6,11,50,0,-236.241876,-273.974094,0.214286,0.886624
