Type,MapIdx,Cells,Jaccard,GT Loss,Pred Loss
6,17,50,0.333333,-1124.059221,-1027.255872
6,18,50,0.333333,-331.412910,-350.468246
6,19,50,0.000000,-196.010280,-232.802491
6,20,50,0.000000,-208.912799,-247.585024
6,21,50,0.333333,-257.965709,-408.819452
6,22,50,0.571429,-314.385087,-385.557408
6,23,50,0.333333,-210.440289,-251.168927
6,24,50,0.333333,-502.415640,-637.818232
6,25,50,0.000000,-307.108149,-352.170693
6,26,50,0.333333,-281.186830,-331.651854
