Type,MapIdx,Cells,Jaccard,GT Loss,Pred Loss,Edge Jaccard,IM Similarity
6,17,50,0.333333,-1124.059221,-1025.869577,0.611111,0.830218
6,18,50,0.333333,-331.41291,-354.62713,0.727273,0.828329
6,19,50,0,-196.01028,-236.961374,0.2,0.822384
6,20,50,0,-208.912799,-247.585024,0.142857,0.806287
6,21,50,0,-257.965709,-302.358822,0.352941,0.772995
6,22,50,0.333333,-314.385087,-315.599016,0.5625,0.7793
6,23,50,0.333333,-210.440289,-251.168927,0.684211,0.84014
6,24,50,0,-502.41564,-528.73686,0.4,0.724897
6,25,50,0,-307.108149,-353.556988,0.333333,0.755976
6,26,50,0.333333,-281.18683,-331.651854,0.611111,0.875992
