Type,MapIdx,Cells,Jaccard,GT Loss,Pred Loss,Edge Jaccard,IM Similarity
6,17,100,0.333333,-1584.807431,-1452.820832,0.555556,0.858826
6,18,100,0.333333,-353.877021,-418.226855,0.631579,0.830684
6,19,100,0.000000,-298.170780,-339.121874,0.200000,0.753975
6,20,100,0.000000,-302.494836,-338.394472,0.000000,1.000000
6,21,100,0.000000,-433.148859,-473.383089,0.214286,0.853778
6,22,100,0.333333,-307.446277,-344.721840,0.631579,0.793466
6,23,100,0.333333,-324.467468,-402.869244,0.684211,0.858569
6,24,100,0.333333,-490.462954,-534.693536,0.740741,0.711814
6,25,100,0.333333,-291.523347,-350.389116,0.652174,0.777127
6,26,100,0.333333,-454.033347,-728.343803,0.631579,0.847507
