tree_index	node_name	label
0	0	{'-9', '-10', '-3', '-4', '-7', '-15'}
1	0	{'-9', '-10', '-3', '-4', '-7', '-15'}
2	0	{'-9', '-10', '-3', '-4', '-7', '-15'}
3	0	{'-9', '-10', '-3', '-4', '-7', '-15'}
4	0	{'-9', '-10', '-3', '-4', '-7', '-15'}
0	10	{'-4', '-9', '-3'}
1	10	{'-9', '-10', '-3', '-4', '-7', '-15'}
2	100	{'-9', '-10'}
3	1006	{'-4', '-3'}
2	101	{'-9', '-10'}
4	1013	{'-4', '-3'}
4	1024	{'-4', '-3'}
3	1030	{'-4', '-3'}
0	108	{'-4', '-9', '-3'}
0	1084	{'-4', '-3'}
0	109	{'-4', '-3'}
4	109	{'-9', '-10'}
0	11	{'-9', '-10', '-3', '-4', '-7', '-15'}
2	11	{'-9', '-10', '-3', '-4', '-7', '-15'}
4	11	{'-9', '-10', '-3', '-4', '-7', '-15'}
1	110	{'-4', '-3'}
3	1109	{'-4', '-3'}
1	111	{'-4', '-3'}
4	1129	{'-4', '-3'}
0	1137	{'-4', '-3'}
0	115	{'-9', '-10'}
3	115	{'-4', '-9', '-3'}
2	116	{'-4', '-9', '-3'}
1	117	{'-9', '-10'}
2	117	{'-4', '-3'}
1	118	{'-4', '-3'}
0	1183	{'-4', '-3'}
1	119	{'-4', '-3'}
0	12	{'-7', '-3', '-15'}
2	12	{'-4', '-3'}
4	12	{'-7', '-3', '-15'}
4	120	{'-9', '-10'}
4	1205	{'-4', '-3'}
1	124	{'-4', '-9', '-3'}
3	1244	{'-4', '-3'}
4	125	{'-9', '-10'}
0	127	{'-4', '-3'}
3	127	{'-4', '-3'}
4	129	{'-9', '-10'}
0	13	{'-9', '-10', '-3', '-4', '-7', '-15'}
2	13	{'-7', '-3', '-15'}
4	13	{'-9', '-10', '-3', '-4', '-7', '-15'}
2	130	{'-9', '-10'}
2	131	{'-9', '-10'}
3	1315	{'-4', '-3'}
2	132	{'-4', '-3'}
3	133	{'-9', '-10'}
3	1349	{'-4', '-3'}
2	136	{'-4', '-3'}
3	1377	{'-4', '-3'}
0	14	{'-9', '-10', '-3', '-4', '-7', '-15'}
1	14	{'-9', '-10', '-3', '-4', '-7', '-15'}
3	14	{'-9', '-10', '-3', '-4', '-7', '-15'}
4	14	{'-9', '-10', '-3', '-4', '-7', '-15'}
3	140	{'-4', '-9', '-3'}
4	140	{'-4', '-3'}
0	141	{'-4', '-3'}
1	142	{'-9', '-10'}
4	143	{'-9', '-10'}
0	1431	{'-4', '-3'}
1	144	{'-4', '-3'}
1	145	{'-4', '-3'}
0	1486	{'-4', '-3'}
0	15	{'-9', '-10', '-3', '-4', '-7', '-15'}
2	15	{'-9', '-10', '-3', '-4', '-7', '-15'}
4	15	{'-4', '-3'}
3	1512	{'-4', '-3'}
3	152	{'-4', '-9', '-3'}
1	154	{'-4', '-3'}
3	154	{'-9', '-10'}
0	155	{'-9', '-10'}
3	155	{'-9', '-10'}
