tree_index	node_name	label
0	0	{'-10', '-11', '-12', '-15', '-2', '-13', '-8', '-7', '-9', '-1'}
1	0	{'-10', '-11', '-12', '-15', '-2', '-13', '-8', '-7', '-9', '-1'}
2	0	{'-10', '-11', '-12', '-15', '-2', '-13', '-8', '-7', '-9', '-1'}
3	0	{'-10', '-11', '-12', '-15', '-2', '-13', '-8', '-7', '-9', '-1'}
4	0	{'-10', '-11', '-12', '-15', '-2', '-13', '-8', '-7', '-9', '-1'}
3	10	{'-2', '-1'}
1	100	{'-2', '-1'}
2	100	{'-7', '-15'}
4	100	{'-11', '-12', '-15', '-13', '-7', '-1'}
2	1001	{'-2', '-1'}
1	1006	{'-2', '-1'}
2	101	{'-11', '-12', '-15', '-13', '-7'}
2	1011	{'-9', '-8'}
1	102	{'-10', '-7', '-9', '-8'}
2	102	{'-11', '-12', '-15', '-13', '-7'}
3	102	{'-2', '-1'}
4	102	{'-10', '-9', '-8'}
3	1022	{'-2', '-1'}
3	1024	{'-9', '-8'}
4	1024	{'-2', '-1'}
3	1025	{'-9', '-8'}
2	103	{'-11', '-12', '-15', '-13', '-7'}
3	103	{'-2', '-1'}
4	103	{'-10', '-9', '-8'}
2	1035	{'-9', '-8'}
0	1038	{'-9', '-8'}
0	1039	{'-9', '-8'}
0	104	{'-11', '-12', '-15', '-13', '-7'}
1	104	{'-2', '-1'}
4	104	{'-2', '-1'}
0	1042	{'-2', '-1'}
4	1044	{'-2', '-1'}
0	1049	{'-2', '-1'}
0	105	{'-11', '-12', '-15', '-13', '-7'}
2	105	{'-2', '-1'}
4	1059	{'-7', '-15'}
3	106	{'-11', '-12', '-15', '-13', '-7'}
4	106	{'-10', '-9', '-8'}
1	1064	{'-7', '-15'}
4	1064	{'-9', '-8'}
0	107	{'-2', '-1'}
1	107	{'-2', '-1'}
2	1075	{'-9', '-8'}
1	1077	{'-9', '-8'}
1	1078	{'-2', '-1'}
1	108	{'-2', '-1'}
2	108	{'-2', '-1'}
4	108	{'-2', '-1'}
1	1080	{'-9', '-8'}
1	1081	{'-9', '-8'}
3	1082	{'-7', '-15'}
1	109	{'-2', '-1'}
3	109	{'-10', '-9', '-8'}
1	1090	{'-9', '-8'}
0	1099	{'-2', '-1'}
1	11	{'-10', '-11', '-12', '-15', '-2', '-13', '-8', '-7', '-9', '-1'}
2	11	{'-2', '-1'}
3	1103	{'-2', '-1'}
0	111	{'-2', '-1'}
0	112	{'-10', '-9', '-8'}
2	112	{'-10', '-9', '-8'}
1	113	{'-10', '-9', '-8'}
2	113	{'-10', '-9', '-8'}
4	113	{'-11', '-12', '-15', '-13', '-7'}
3	1132	{'-2', '-1'}
3	1133	{'-2', '-1'}
3	1137	{'-9', '-8'}
1	1138	{'-2', '-1'}
3	1153	{'-9', '-8'}
4	1162	{'-2', '-1'}
1	1163	{'-2', '-1'}
0	117	{'-13', '-12', '-11'}
2	117	{'-10', '-9', '-8'}
4	117	{'-2', '-1'}
1	118	{'-11', '-12', '-15', '-13', '-7', '-1'}
3	118	{'-9', '-8'}
0	1188	{'-9', '-8'}
0	119	{'-10', '-9', '-8'}
1	119	{'-11', '-12', '-15', '-13', '-7'}
3	119	{'-10', '-9', '-8'}
4	119	{'-2', '-1'}
3	1191	{'-9', '-8'}
1	1197	{'-2', '-1'}
0	12	{'-10', '-7', '-9', '-8'}
1	12	{'-11', '-12', '-15', '-13', '-7', '-1'}
2	12	{'-11', '-12', '-15', '-13', '-7', '-1'}
3	12	{'-10', '-7', '-9', '-8'}
4	12	{'-2', '-1'}
0	120	{'-2', '-1'}
3	120	{'-11', '-12', '-15', '-13', '-7'}
4	122	{'-2', '-1'}
2	1223	{'-9', '-8'}
0	1225	{'-9', '-8'}
1	1228	{'-2', '-1'}
1	123	{'-10', '-9', '-8'}
3	123	{'-10', '-9', '-8'}
1	1236	{'-2', '-1'}
1	124	{'-10', '-9', '-8'}
2	1242	{'-7', '-15'}
3	125	{'-2', '-1'}
4	125	{'-11', '-12', '-15', '-13', '-7'}
3	1250	{'-2', '-1'}
3	126	{'-2', '-1'}
0	1262	{'-2', '-1'}
1	127	{'-11', '-12', '-15', '-13', '-7'}
2	127	{'-10', '-9', '-8'}
4	127	{'-2', '-1'}
1	1281	{'-2', '-1'}
1	1285	{'-7', '-15'}
4	129	{'-10', '-7', '-9', '-8'}
1	1290	{'-9', '-8'}
2	1294	{'-7', '-15'}
2	1295	{'-7', '-15'}
0	1299	{'-2', '-1'}
3	1299	{'-9', '-8'}
0	13	{'-2', '-1'}
1	13	{'-2', '-1'}
1	130	{'-10', '-9', '-8'}
2	130	{'-7', '-15'}
3	1302	{'-9', '-8'}
3	1303	{'-9', '-8'}
0	1308	{'-9', '-8'}
0	131	{'-2', '-1'}
1	131	{'-9', '-8'}
3	1319	{'-9', '-8'}
2	1328	{'-9', '-8'}
1	1332	{'-2', '-1'}
3	1334	{'-2', '-1'}
