tree_index	node_name	label
0	0	{'-7', '-14', '-9', '-4', '-8', '-1'}
1	0	{'-7', '-14', '-9', '-4', '-8', '-1'}
2	0	{'-7', '-14', '-9', '-4', '-8', '-1'}
3	0	{'-7', '-14', '-9', '-4', '-8', '-1'}
4	0	{'-7', '-14', '-9', '-4', '-8', '-1'}
0	10	{'-7', '-14', '-9', '-4', '-8', '-1'}
1	10	{'-8', '-7', '-14', '-1'}
3	10	{'-7', '-14', '-9', '-4', '-8', '-1'}
2	1002	{'-8', '-7'}
0	1004	{'-8', '-7'}
0	1012	{'-8', '-7'}
1	1012	{'-8', '-7'}
4	1013	{'-8', '-7'}
0	1016	{'-8', '-7'}
1	1016	{'-8', '-7'}
4	1016	{'-8', '-7'}
2	1018	{'-8', '-7'}
2	1019	{'-8', '-7'}
0	102	{'-7', '-14'}
3	102	{'-8', '-7', '-14', '-1'}
0	1026	{'-8', '-7'}
3	1026	{'-8', '-7'}
0	1027	{'-8', '-7'}
0	103	{'-7', '-14'}
3	103	{'-8', '-7', '-14'}
3	1035	{'-8', '-7'}
2	1040	{'-8', '-7'}
2	1041	{'-8', '-7'}
4	1042	{'-8', '-7'}
4	1043	{'-8', '-7'}
2	1046	{'-8', '-7'}
2	1047	{'-8', '-7'}
3	105	{'-8', '-7', '-14', '-1'}
4	105	{'-8', '-7'}
3	1054	{'-8', '-7'}
3	1056	{'-8', '-7'}
0	107	{'-8', '-7', '-14'}
3	107	{'-8', '-7', '-14', '-1'}
3	1079	{'-8', '-7'}
1	1083	{'-8', '-7'}
4	1086	{'-8', '-7'}
0	109	{'-8', '-7', '-14', '-1'}
2	109	{'-8', '-7', '-14'}
3	1091	{'-8', '-7'}
3	11	{'-8', '-7', '-14', '-1'}
0	110	{'-7', '-14'}
0	1100	{'-8', '-7'}
0	111	{'-7', '-14'}
4	1110	{'-8', '-7'}
4	1111	{'-8', '-7'}
2	1118	{'-8', '-7'}
2	1119	{'-8', '-7'}
2	112	{'-8', '-7'}
3	112	{'-8', '-7', '-14', '-1'}
0	1126	{'-8', '-7'}
4	1131	{'-8', '-7'}
3	1135	{'-8', '-7'}
0	114	{'-8', '-7', '-14', '-1'}
0	1147	{'-8', '-7'}
0	1148	{'-8', '-7'}
0	1149	{'-8', '-7'}
0	115	{'-8', '-7', '-14', '-1'}
0	1151	{'-8', '-7'}
1	1152	{'-8', '-7'}
3	116	{'-8', '-7', '-14'}
3	1170	{'-8', '-7'}
2	1171	{'-8', '-7'}
2	1177	{'-8', '-7'}
0	118	{'-8', '-7', '-14', '-1'}
4	1188	{'-8', '-7'}
4	1189	{'-8', '-7'}
0	119	{'-8', '-7'}
4	119	{'-8', '-7', '-14'}
0	1193	{'-8', '-7'}
0	120	{'-8', '-7', '-14', '-1'}
3	121	{'-8', '-7', '-14'}
0	1214	{'-8', '-7'}
3	1215	{'-8', '-7'}
4	1216	{'-8', '-7'}
3	1248	{'-8', '-7'}
3	1249	{'-8', '-7'}
1	1259	{'-8', '-7'}
0	1267	{'-8', '-7'}
0	1270	{'-8', '-7'}
1	128	{'-8', '-7', '-14'}
4	128	{'-8', '-7', '-14'}
3	1282	{'-8', '-7'}
1	129	{'-8', '-7', '-14', '-1'}
4	129	{'-8', '-7', '-14', '-1'}
0	1296	{'-8', '-7'}
1	1299	{'-8', '-7'}
2	13	{'-8', '-7', '-14', '-1'}
1	1302	{'-8', '-7'}
2	1304	{'-8', '-7'}
3	1314	{'-8', '-7'}
3	133	{'-8', '-7', '-14', '-1'}
0	134	{'-8', '-7', '-14', '-1'}
1	1342	{'-8', '-7'}
1	1343	{'-8', '-7'}
1	1348	{'-8', '-7'}
4	135	{'-8', '-7', '-14', '-1'}
4	1354	{'-8', '-7'}
1	1361	{'-8', '-7'}
1	1367	{'-8', '-7'}
0	137	{'-7', '-14'}
3	1390	{'-8', '-7'}
1	14	{'-8', '-7', '-14', '-1'}
3	14	{'-8', '-7', '-14', '-1'}
1	140	{'-8', '-7'}
4	140	{'-8', '-7', '-14'}
4	141	{'-8', '-7', '-14', '-1'}
2	142	{'-8', '-7', '-14', '-1'}
3	142	{'-8', '-7'}
4	1426	{'-8', '-7'}
3	143	{'-8', '-7', '-14'}
0	1430	{'-8', '-7'}
1	1442	{'-8', '-7'}
0	1445	{'-8', '-7'}
1	1448	{'-8', '-7'}
0	146	{'-8', '-7', '-14', '-1'}
4	1461	{'-8', '-7'}
2	1466	{'-8', '-7'}
0	1467	{'-8', '-7'}
2	1467	{'-8', '-7'}
0	147	{'-8', '-7'}
2	1476	{'-8', '-7'}
2	1477	{'-8', '-7'}
1	148	{'-8', '-7', '-14'}
3	148	{'-8', '-7', '-14'}
1	1485	{'-8', '-7'}
0	1503	{'-8', '-7'}
3	151	{'-7', '-14'}
0	152	{'-8', '-7'}
3	1524	{'-8', '-7'}
2	1525	{'-8', '-7'}
3	1562	{'-8', '-7'}
2	1574	{'-8', '-7'}
3	1579	{'-8', '-7'}
3	158	{'-7', '-14'}
1	159	{'-8', '-7', '-14', '-1'}
3	159	{'-8', '-7'}
3	1590	{'-8', '-7'}
4	1596	{'-8', '-7'}
4	1597	{'-8', '-7'}
0	16	{'-7', '-14'}
3	160	{'-8', '-7', '-14', '-1'}
3	1606	{'-8', '-7'}
1	1613	{'-8', '-7'}
1	1614	{'-8', '-7'}
1	1619	{'-8', '-7'}
2	162	{'-8', '-7', '-14', '-1'}
0	1627	{'-8', '-7'}
0	163	{'-8', '-7', '-14', '-1'}
2	165	{'-8', '-7', '-14'}
3	165	{'-8', '-7', '-14', '-1'}
2	1652	{'-8', '-7'}
2	1653	{'-8', '-7'}
