tree_index	node_name	label
0	0	{'-3', '-15', '-9', '-2', '-5', '-12'}
1	0	{'-3', '-15', '-9', '-2', '-5', '-12'}
2	0	{'-3', '-15', '-9', '-2', '-5', '-12'}
3	0	{'-3', '-15', '-9', '-2', '-5', '-12'}
4	0	{'-3', '-15', '-9', '-2', '-5', '-12'}
2	10	{'-3', '-15', '-9', '-2', '-5', '-12'}
4	10	{'-5', '-2'}
3	102	{'-3', '-2'}
4	1027	{'-3', '-2'}
0	103	{'-15', '-9'}
1	103	{'-3', '-2'}
2	103	{'-15', '-9'}
1	104	{'-15', '-9'}
1	1043	{'-3', '-2'}
3	105	{'-5', '-2'}
1	1050	{'-3', '-2'}
1	1052	{'-3', '-2'}
0	106	{'-3', '-2'}
2	106	{'-3', '-2'}
4	106	{'-3', '-2'}
0	1065	{'-3', '-2'}
4	1066	{'-3', '-2'}
0	108	{'-3', '-2'}
1	108	{'-3', '-2'}
1	109	{'-3', '-2'}
0	1095	{'-3', '-2'}
1	1099	{'-3', '-2'}
2	1099	{'-3', '-2'}
0	11	{'-3', '-15', '-9', '-2', '-5', '-12'}
2	11	{'-3', '-15', '-9', '-2', '-5', '-12'}
2	110	{'-5', '-2'}
2	111	{'-5', '-2'}
3	111	{'-3', '-2'}
2	112	{'-15', '-9'}
3	112	{'-5', '-2'}
4	1136	{'-3', '-2'}
4	1137	{'-3', '-2'}
3	114	{'-3', '-2'}
0	115	{'-5', '-2'}
3	115	{'-3', '-2'}
4	1161	{'-3', '-2'}
0	117	{'-3', '-2'}
3	1171	{'-3', '-2'}
2	118	{'-5', '-2'}
3	118	{'-15', '-9'}
2	1180	{'-3', '-2'}
0	119	{'-15', '-9'}
3	119	{'-15', '-9'}
1	1199	{'-3', '-2'}
0	12	{'-3', '-15', '-9', '-2', '-5', '-12'}
2	12	{'-3', '-15', '-9', '-2', '-5', '-12'}
3	12	{'-3', '-15', '-9', '-2', '-5', '-12'}
4	12	{'-3', '-2'}
0	120	{'-3', '-2'}
1	1204	{'-3', '-2'}
2	121	{'-5', '-2'}
3	121	{'-5', '-2'}
2	123	{'-5', '-2'}
1	124	{'-3', '-2'}
1	125	{'-3', '-2'}
4	1254	{'-3', '-2'}
0	127	{'-15', '-9'}
0	1270	{'-3', '-2'}
1	1272	{'-3', '-2'}
0	128	{'-3', '-2'}
2	128	{'-3', '-2'}
1	1282	{'-3', '-2'}
3	1282	{'-3', '-2'}
0	129	{'-3', '-2'}
2	13	{'-3', '-15', '-9', '-2', '-5', '-12'}
3	13	{'-5', '-2'}
4	13	{'-15', '-9'}
0	130	{'-15', '-9'}
1	130	{'-3', '-2'}
2	130	{'-15', '-9'}
0	131	{'-15', '-9'}
1	131	{'-3', '-2'}
2	131	{'-15', '-9'}
1	1311	{'-3', '-2'}
1	1312	{'-3', '-2'}
3	132	{'-3', '-2'}
0	133	{'-5', '-2'}
3	133	{'-3', '-2'}
1	1331	{'-3', '-2'}
1	134	{'-15', '-9'}
1	135	{'-15', '-9'}
0	1350	{'-3', '-2'}
1	1352	{'-3', '-2'}
0	136	{'-5', '-2'}
1	136	{'-15', '-9'}
3	136	{'-5', '-2'}
1	1371	{'-3', '-2'}
0	1374	{'-3', '-2'}
3	1377	{'-3', '-2'}
1	138	{'-3', '-2'}
2	138	{'-3', '-2'}
3	138	{'-15', '-9'}
4	138	{'-3', '-2'}
3	1380	{'-3', '-2'}
4	1385	{'-3', '-2'}
1	1387	{'-3', '-2'}
