tree_index	node_name	label
0	0	{'-7', '-8', '-1', '-12', '-16', '-13', '-6', '-2', '-15', '-11'}
1	0	{'-7', '-8', '-1', '-12', '-16', '-13', '-6', '-2', '-15', '-11'}
2	0	{'-7', '-8', '-1', '-12', '-16', '-13', '-6', '-2', '-15', '-11'}
3	0	{'-7', '-8', '-1', '-12', '-16', '-13', '-6', '-2', '-15', '-11'}
4	0	{'-7', '-8', '-1', '-12', '-16', '-13', '-6', '-2', '-15', '-11'}
0	10	{'-7', '-8', '-1', '-12', '-16', '-13', '-2', '-15', '-11'}
3	10	{'-7', '-8', '-1', '-12', '-16', '-13', '-6', '-2', '-15', '-11'}
4	10	{'-7', '-8', '-1', '-16', '-6', '-2', '-15', '-11'}
4	100	{'-7', '-8'}
0	1001	{'-1', '-2'}
1	1005	{'-1', '-2'}
4	1005	{'-7', '-8'}
4	1009	{'-1', '-2'}
4	101	{'-12', '-11', '-8'}
3	1010	{'-7', '-8'}
3	1011	{'-7', '-8'}
2	1013	{'-1', '-2'}
1	1015	{'-1', '-2'}
4	1018	{'-7', '-8'}
4	1019	{'-7', '-8'}
0	102	{'-7', '-8', '-1', '-12', '-16', '-13', '-2', '-15', '-11'}
1	102	{'-6', '-15', '-11', '-16'}
0	103	{'-7', '-8', '-1', '-12', '-16', '-13', '-2', '-15', '-11'}
3	103	{'-7', '-8', '-1', '-12', '-16', '-13', '-2', '-15', '-11'}
3	1031	{'-1', '-2'}
3	1033	{'-7', '-8'}
0	1036	{'-1', '-2'}
4	104	{'-6', '-15', '-11', '-16'}
2	1042	{'-7', '-8'}
1	1043	{'-7', '-8'}
2	1043	{'-7', '-8'}
0	105	{'-7', '-11', '-8'}
1	105	{'-7', '-11', '-8'}
4	105	{'-1', '-2'}
1	1050	{'-7', '-8'}
4	1050	{'-1', '-2'}
3	1051	{'-7', '-8'}
0	1058	{'-1', '-2'}
2	1058	{'-7', '-8'}
2	1059	{'-7', '-8'}
1	106	{'-7', '-8', '-1', '-12', '-16', '-13', '-2', '-15', '-11'}
4	106	{'-7', '-11', '-8'}
1	1068	{'-1', '-2'}
4	1068	{'-7', '-8'}
1	1069	{'-1', '-2'}
0	107	{'-7', '-8'}
1	107	{'-7', '-8', '-1', '-12', '-16', '-13', '-2', '-15', '-11'}
3	107	{'-1', '-2'}
2	1070	{'-1', '-2'}
0	1073	{'-7', '-8'}
0	1077	{'-7', '-8'}
1	108	{'-7', '-8', '-1', '-12', '-16', '-13', '-2', '-15', '-11'}
0	1081	{'-7', '-8'}
3	1084	{'-1', '-2'}
2	1086	{'-1', '-2'}
2	1087	{'-1', '-2'}
